fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-09-09,1,sim-1788884475025-76,1,placement_uncertain,8508,6.59,56067,,2026-09-09 19:30,MLS,Minnesota United,FC Dallas,1X2,VISITANTE,FC Dallas,3.60
2026-09-09,1,sim-1788884475025-76,2,placement_uncertain,8508,6.59,56067,,2026-09-09 14:00,UEFA Champions League,Sporting CP,Galatasaray SK,1X2,LOCAL,Sporting CP,1.83
2026-09-09,2,sim-1788884475025-77,1,placed,8423,6.30,53064,,2026-09-09 18:30,MLS,CF Montreal,Charlotte FC,1X2,VISITANTE,Charlotte FC,2.80
2026-09-09,2,sim-1788884475025-77,2,placed,8423,6.30,53064,,2026-09-09 18:30,MLS,Toronto FC,Nashville Soccer Club,1X2,VISITANTE,Nashville Soccer Club,2.25
