fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-09-13,1,sim-1789120836846-84,1,placed,8458,8.35,70624,,2026-09-13 12:00,Portuguese Primeira Liga,Arouca,Santa Clara,1X2,LOCAL,Arouca,2.65
2026-09-13,1,sim-1789120836846-84,2,placed,8458,8.35,70624,,2026-09-13 10:30,English Premier League,Manchester United,Manchester City,1X2,LOCAL,Manchester United,3.15
2026-09-13,2,sim-1789302479430-6,1,pending,2955,193.81,572708,,2026-09-13 19:30,Argentine Liga Profesional de Fútbol,Huracán,Racing Club,1X2,LOCAL,Huracán,2.65
2026-09-13,2,sim-1789302479430-6,2,pending,2955,193.81,572708,,2026-09-13 12:00,Portuguese Primeira Liga,Arouca,Santa Clara,1X2,LOCAL,Arouca,2.60
2026-09-13,2,sim-1789302479430-6,3,pending,2955,193.81,572708,,2026-09-13 10:30,English Premier League,Manchester United,Manchester City,1X2,LOCAL,Manchester United,3.10
2026-09-13,2,sim-1789302479430-6,4,pending,2955,193.81,572708,,2026-09-14 14:15,Portuguese Primeira Liga,Moreirense FC,Marítimo,1X2,VISITANTE,Marítimo,2.90
2026-09-13,2,sim-1789302479430-6,5,pending,2955,193.81,572708,,2026-09-15 12:00,Spanish LALIGA,Rayo Vallecano,Espanyol,1X2,LOCAL,Rayo Vallecano,2.10
2026-09-13,2,sim-1789302479430-6,6,pending,2955,193.81,572708,,2026-09-13 14:30,Portuguese Primeira Liga,Famalicão,Sporting CP,1X2,VISITANTE,Sporting CP,1.49
