fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-09-06,1,sim-1788688845327-75,1,pending,8594,8.67,74509,,2026-09-06 14:00,Spanish LALIGA,Espanyol,Sevilla,1X2,VISITANTE,Sevilla,3.40
2026-09-06,1,sim-1788688845327-75,2,pending,8594,8.67,74509,,2026-09-06 09:00,Brasileirão Serie A,Coritiba,Mirassol FC,1X2,LOCAL,Coritiba,2.55
2026-09-06,2,sim-1788546988846-68,1,placed,8949,10.54,94322,,2026-09-06 15:00,Argentine Liga Profesional de Fútbol,Lanús,Defensa y Justicia,1X2,VISITANTE,Defensa y Justicia,4.90
2026-09-06,2,sim-1788546988846-68,2,placed,8949,10.54,94322,,2026-09-06 08:00,English Premier League,Everton,Manchester United,1X2,VISITANTE,Manchester United,2.15
