fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-09-12,1,sim-1789207268544-85,1,pending,8373,7.79,65225,,2026-09-12 11:00,Norwegian Eliteserien,Rosenborg BK,Tromsø,1X2,VISITANTE,Tromsø,4.90
2026-09-12,1,sim-1789207268544-85,2,pending,8373,7.79,65225,,2026-09-12 14:00,Dutch Eredivisie,SC Cambuur,NEC Nijmegen,1X2,VISITANTE,NEC Nijmegen,1.59
2026-09-12,2,sim-1789207268544-86,1,pending,8290,8.39,69553,,2026-09-12 14:00,Brasileirão Serie A,Gremio FBPA,Vasco da Gama,1X2,LOCAL,Gremio FBPA,3.05
2026-09-12,2,sim-1789207268544-86,2,pending,8290,8.39,69553,,2026-09-12 13:45,French Ligue 1,Le Havre AC,Angers SCO,1X2,LOCAL,Le Havre AC,2.75
2026-09-12,3,sim-1789034468721-78,1,pending,8899,9.18,81692,,2026-09-12 11:30,English Premier League,Tottenham Hotspur,Everton,1X2,VISITANTE,Everton,3.60
2026-09-12,3,sim-1789034468721-78,2,pending,8899,9.18,81692,,2026-09-12 13:45,French Ligue 1,AJ Auxerre,Nice,1X2,LOCAL,AJ Auxerre,2.55
2026-09-12,4,sim-1789034468721-79,1,placed,8810,9.10,80171,,2026-09-12 18:00,Argentine Liga Profesional de Fútbol,Talleres de Córdoba,Unión de Santa Fe,1X2,VISITANTE,Unión de Santa Fe,3.50
2026-09-12,4,sim-1789034468721-79,2,placed,8810,9.10,80171,,2026-09-12 13:45,French Ligue 1,FC Lorient,Toulouse FC,1X2,LOCAL,FC Lorient,2.60
2026-09-12,5,sim-1789034468721-81,1,placed,8635,8.09,69857,,2026-09-12 08:30,German Bundesliga,FC Augsburg,Leverkusen,1X2,LOCAL,FC Augsburg,3.85
2026-09-12,5,sim-1789034468721-81,2,placed,8635,8.09,69857,,2026-09-12 09:15,Spanish LALIGA,Osasuna,Espanyol,1X2,LOCAL,Osasuna,2.10
