combinado_id,local,visitante,tipo_seleccion,seleccion,cuota,stake,estado,fecha
sim-1787997646302-11,FC Cologne,TSG Hoffenheim,VISITANTE,TSG Hoffenheim,2.2,4877,pending,2026-08-29
sim-1787997646302-11,AJ Auxerre,Angers SCO,LOCAL,AJ Auxerre,2,4877,pending,2026-08-29
sim-1787997646302-11,Alianza FC,Atlético Nacional,VISITANTE,Atlético Nacional,1.95,4877,pending,2026-08-29
sim-1787997646302-11,Nashville Soccer Club,FC Cincinnati,LOCAL,Nashville Soccer Club,1.77,4877,pending,2026-08-29
