fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-08-30,1,sim-1788084064472-63,1,lost,8969,4.20,37669,0,2026-08-30 08:00,French Ligue 1,Paris FC,Nice,1X2,LOCAL,Paris FC,2.05
2026-08-30,1,sim-1788084064472-63,2,lost,8969,4.20,37669,0,2026-08-30 16:30,Brasileirão Serie A,Mirassol FC,Palmeiras,1X2,VISITANTE,Palmeiras,2.05
2026-08-30,2,sim-1788084064472-64,1,lost,8880,3.80,33744,0,2026-08-30 19:30,Argentine Liga Profesional de Fútbol,Independiente Rivadavia,Racing Club,1X2,LOCAL,Independiente Rivadavia,2.25
2026-08-30,2,sim-1788084064472-64,2,lost,8880,3.80,33744,0,2026-08-30 10:00,Norwegian Eliteserien,Tromsø,Sarpsborg 08,1X2,LOCAL,Tromsø,1.69
2026-08-30,3,sim-1788084064472-65,1,lost,8791,2.98,26197,0,2026-08-30 10:00,Norwegian Eliteserien,Sandefjord Fotball,Brann,1X2,VISITANTE,Brann,2.10
2026-08-30,3,sim-1788084064472-65,2,lost,8791,2.98,26197,0,2026-08-30 15:00,Argentine Liga Profesional de Fútbol,Argentinos Juniors,Aldosivi,1X2,LOCAL,Argentinos Juniors,1.42
2026-08-30,4,sim-1788084064472-66,1,lost,8703,3.96,34463,0,2026-08-30 09:00,Brasileirão Serie A,Ath. Paranaense,Fluminense,1X2,LOCAL,Ath. Paranaense,2.20
2026-08-30,4,sim-1788084064472-66,2,lost,8703,3.96,34463,0,2026-08-30 08:30,German Bundesliga,SC Freiburg,Werder Bremen,1X2,LOCAL,SC Freiburg,1.80
2026-08-30,5,sim-1788084064472-67,1,lost,913,3.43,3131,0,2026-08-30 13:45,Italian Serie A,Lazio,Genoa,1X2,LOCAL,Lazio,2.20
2026-08-30,5,sim-1788084064472-67,2,lost,913,3.43,3131,0,2026-08-30 14:00,Colombian Primera A,Águilas Doradas,Boyacá Chicó FC,1X2,LOCAL,Águilas Doradas,1.56
2026-08-30,6,sim-1788091433735-14,1,lost,4805,76.93,369648,0,2026-08-30 14:30,Spanish LALIGA,Celta Vigo,Athletic Club,1X2,LOCAL,Celta Vigo,2.70
2026-08-30,6,sim-1788091433735-14,2,lost,4805,76.93,369648,0,2026-08-30 19:30,Argentine Liga Profesional de Fútbol,Independiente Rivadavia,Racing Club,1X2,LOCAL,Independiente Rivadavia,2.25
2026-08-30,6,sim-1788091433735-14,3,lost,4805,76.93,369648,0,2026-08-30 08:00,French Ligue 1,Paris FC,Nice,1X2,LOCAL,Paris FC,2.05
2026-08-30,6,sim-1788091433735-14,4,lost,4805,76.93,369648,0,2026-08-30 13:45,Italian Serie A,Lazio,Genoa,1X2,LOCAL,Lazio,2.20
2026-08-30,6,sim-1788091433735-14,5,lost,4805,76.93,369648,0,2026-08-30 08:30,German Bundesliga,SC Freiburg,Werder Bremen,1X2,LOCAL,SC Freiburg,1.80
2026-08-30,6,sim-1788091433735-14,6,lost,4805,76.93,369648,0,2026-08-30 14:00,Colombian Primera A,Águilas Doradas,Boyacá Chicó FC,1X2,LOCAL,Águilas Doradas,1.56
2026-08-30,7,sim-1788091433735-15,1,lost,4780,85.68,409550,0,2026-08-30 14:30,Spanish LALIGA,Celta Vigo,Athletic Club,1X2,LOCAL,Celta Vigo,2.70
2026-08-30,7,sim-1788091433735-15,2,lost,4780,85.68,409550,0,2026-08-30 19:30,Argentine Liga Profesional de Fútbol,Independiente Rivadavia,Racing Club,1X2,LOCAL,Independiente Rivadavia,2.25
