fecha,combinado,combinado_id,partido,estado,monto_combinado_cop,cuota_combinada,retorno_potencial_cop,retorno_real_cop,hora_colombia,liga,local,visitante,mercado,tipo_seleccion,seleccion,cuota_seleccion
2026-08-09,1,sim-1785591025543-27,1,lost,9840,3.01,29618,0,2026-08-09 14:00,Brasileirão Serie A,Bahia,Vasco da Gama,1X2,LOCAL,Bahia,1.87
2026-08-09,1,sim-1785591025543-27,2,lost,9840,3.01,29618,0,2026-08-09 14:00,Brasileirão Serie A,Palmeiras,Internacional,1X2,LOCAL,Palmeiras,1.61
2026-08-09,2,sim-1786273236774-5,1,lost,5000,11.85,59250,0,2026-08-09 10:00,Norwegian Eliteserien,Hamarkameratene,Aalesunds FK,1X2,LOCAL,Hamarkameratene,2.10
2026-08-09,2,sim-1786273236774-5,2,lost,5000,11.85,59250,0,2026-08-09 14:00,Brasileirão Serie A,Esporte Clube Bahia,Vasco da Gama,1X2,LOCAL,Esporte Clube Bahia,2.00
2026-08-09,2,sim-1786273236774-5,3,lost,5000,11.85,59250,0,2026-08-09 09:30,Swedish Allsvenskan,Halmstads BK,GAIS,1X2,VISITANTE,GAIS,1.67
2026-08-09,2,sim-1786273236774-5,4,lost,5000,11.85,59250,0,2026-08-09 12:15,Norwegian Eliteserien,Kristiansund BK,Molde,1X2,VISITANTE,Molde,1.69
